ID,Name,Description,"Regular price",Categories,Tags,Images,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 visible","Attribute 4 global","Attribute 5 name","Attribute 5 value(s)","Attribute 5 visible","Attribute 5 global","Attribute 6 name","Attribute 6 value(s)","Attribute 6 visible","Attribute 6 global"
691,"Roland D-50","The D-50 was the first affordable synthesizer to combine <a title=""Sample-based synthesis"" href=""https://en.wikipedia.org/wiki/Sample-based_synthesis"">sample playback</a> with subtractive synthesis. The engineers at Roland determined that the most difficult component of an instrument's sound to simulate realistically is the attack. To better emulate realistic sounds, the D-50 included 47 attack samples in ROM. The synthesizer played back an attack sample which was dove-tailed with more conventional subtractive synthesis to create the sustain of the sound. This dual-use method was required in 1987 since RAM was so expensive. Roland did, however, incorporate a number of <i>texture</i> samples that could be mixed into the synthesized sustain part of a patch. These sustain samples gave many D-50 patches a lush and airy quality.",1895,"Synthesizers > Roland","Digital, Roland, Synthesizer",https://luism.co/wp-content/uploads/2024/02/image_2024-02-26_221905879-Photoroom.png-Photoroom-e1708982540954.png,Brand,roland,1,1,Phaseout,1991,1,0,Aftertouch,yes,1,0,"Velocity expression",yes,1,0,Keyboard,"61 keys",1,0,"External control","MIDI in/out\, pedal switch\, pedal hold\, EXT Control\, EXT Pedal",1,0
717,"Alpha-Juno 1",,,"Synthesizers > Roland",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
718,"Alpha-Juno 2",,,"Uncategorized, Synthesizers > Roland",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
719,"Boss DR-55",,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
720,"Boss DR-110",,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
721,"Boss DR-660",,,"Uncategorized, Synthesizers > Roland",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
722,CM-32L,,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
723,"CMU-800 CompuMusic",,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
724,CMU-810,,,"Uncategorized, Synthesizers > Roland",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
725,CR-68,,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
726,CR-78,,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
727,CSQ-100,,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
728,CSQ-600,,,"Uncategorized, Synthesizers > Roland",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
729,D-5,,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
730,D-10,,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
731,D-20,,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
733,D-110,,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
734,E-20,,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
735,EM-101,,,"Uncategorized, Synthesizers > Roland",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
737,HS-10,,,"Synthesizers > Roland, Uncategorized",,,,,,,,,,,,,,,,,,,,,,,,,,
738,"JSQ Sequencers",,,"Synthesizers > Roland, Uncategorized",,,,,,,,,,,,,,,,,,,,,,,,,,
739,Juno-6,,,"Uncategorized, Synthesizers > Roland",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
740,Juno-60,,,"Synthesizers > Roland, Uncategorized",,,,,,,,,,,,,,,,,,,,,,,,,,
741,"Juno 106",,,"Synthesizers > Roland, Uncategorized",,,,,,,,,,,,,,,,,,,,,,,,,,
