ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 visible","Attribute 4 global","Attribute 5 name","Attribute 5 value(s)","Attribute 5 visible","Attribute 5 global","Attribute 6 name","Attribute 6 value(s)","Attribute 6 visible","Attribute 6 global"
691,simple,,"Roland D-50",1,0,visible,"The D-50 was the first affordable synthesizer to combine <a title=""Sample-based synthesis"" href=""https://en.wikipedia.org/wiki/Sample-based_synthesis"">sample playback</a> with subtractive synthesis.","The D-50 was the first affordable synthesizer to combine <a title=""Sample-based synthesis"" href=""https://en.wikipedia.org/wiki/Sample-based_synthesis"">sample playback</a> with subtractive synthesis. The engineers at Roland determined that the most difficult component of an instrument's sound to simulate realistically is the attack. To better emulate realistic sounds, the D-50 included 47 attack samples in ROM. The synthesizer played back an attack sample which was dove-tailed with more conventional subtractive synthesis to create the sustain of the sound. This dual-use method was required in 1987 since RAM was so expensive. Roland did, however, incorporate a number of <i>texture</i> samples that could be mixed into the synthesized sustain part of a patch. These sustain samples gave many D-50 patches a lush and airy quality.",,,taxable,,backorder,,,0,0,,,,,0,,,1895,"Synthesizers > Roland","Digital, Roland, Synthetizer",,https://luism.co/wp-content/uploads/2024/02/image-2.png,,,,,,,,,0,Brand,roland,1,1,Phaseout,1991,1,0,Aftertouch,yes,1,0,"Velocity expression",yes,1,0,Keyboard,"61 keys",1,0,"External control","MIDI in/out\, pedal switch\, pedal hold\, EXT Control\, EXT Pedal",1,0
717,simple,,"Alpha-Juno 1",1,0,visible,,,,,taxable,,0,,,0,0,,,,,0,,,,"Synthesizers > Roland",,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
718,simple,,"Alpha-Juno 2",1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,"Uncategorized, Synthesizers > Roland",,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
719,simple,,"Boss DR-55",1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,"Synthesizers > Roland, Uncategorized",,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
720,simple,,"Boss DR-110",1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,"Synthesizers > Roland, Uncategorized",,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
721,simple,,"Boss DR-660",1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,"Synthesizers > Roland, Uncategorized",,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
722,simple,,CM-32L,1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,"Synthesizers > Roland, Uncategorized",,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
723,simple,,"CMU-800 CompuMusic",1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,"Synthesizers > Roland, Uncategorized",,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
724,simple,,CMU-810,1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,"Synthesizers > Roland, Uncategorized",,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
725,simple,,CR-68,1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,"Synthesizers > Roland, Uncategorized",,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
